image,major_mean,major_std,minor_mean,minor_std,aspect_ratio_mean,aspect_ratio_std,contour_area_mean,contour_area_std,roughness_mean,roughness_std,solidity_mean,solidity_std,mean_red_mean,mean_green_mean,mean_blue_mean,VarietyID_
r140.JPG,62.23528289794922,0.0,25.577348709106445,0.0,0.4109782669590672,0.0,4817.0,0.0,25.49964157341247,0.0,0.9632401598920288,0.0,130.51037678823292,198.9177916582712,235.68345758613745,15
r141.JPG,81.08449859619141,7.586414711255515,24.03170166015625,1.0820833285855709,0.29789196771058013,0.020327616052420422,5950.4,761.4773944262706,22.92297848627878,4.742379583960247,0.9698109096818607,0.024729245183955084,123.95683654214308,177.68792216631817,210.75272884581636,141
r142.JPG,74.83782806396485,5.4969842587189,24.004427337646483,2.1803326039827806,0.32231813747695737,0.03668735016316087,5539.2,634.1280627759664,21.360268619001744,4.117425612345569,0.9817773994930781,0.014444975683284901,122.28634933708031,182.22169096506772,217.90270358958531,25
r143.JPG,75.53975296020508,23.184417988092093,25.385087966918945,4.951676875884798,0.3500581721695291,0.05150639691383836,5796.1,2436.6634382103553,22.86161884411039,2.458677547775947,0.9128891661788338,0.039679844072445125,125.44318990946742,179.02440781281467,209.6833499549005,155
r144.JPG,77.27320556640625,3.561344567674141,27.16987190246582,0.6796620726237174,0.3525685844444165,0.023530380336695127,6417.0,241.93203820724338,25.328562711503487,3.105132802854681,0.973540819409149,0.012689820256758156,121.6005776950143,182.40264669695347,219.80563292411475,48
r145.JPG,81.57875061035156,2.897199609791801,26.443500518798828,5.103807301563857,0.32278585125036274,0.051099486423686794,6488.25,1414.2194843799882,22.966681238048544,1.0830043652083465,0.9540636588670709,0.009301608227666179,130.02636342570764,187.9811678159658,226.51089733313108,120
r147.JPG,74.40633900960286,1.9278470820513531,22.28988265991211,2.07993779431951,0.29997934452381475,0.0314671243472117,4942.333333333333,562.1566211178756,22.47317837589655,2.826688305258721,0.9476898364549594,0.037363340946565765,124.6840628007205,189.01425138226736,225.602057496318,101
r148.JPG,83.1494873046875,3.6339823428176983,24.3951358795166,2.4335041005688267,0.2944178018719503,0.03698438737617082,6181.9,602.2199118446866,22.847232187256175,2.9757433932553194,0.9713334528738831,0.02125366938268126,124.9983958661118,183.93591661647343,217.73173933069438,44
r149.JPG,76.42556762695312,6.849495566590988,22.55357246398926,1.539826445434685,0.29714933205819116,0.031505956076781236,5210.0,605.6666666666666,21.3112162661995,4.175429609328251,0.962386903394562,0.026057482009277773,124.71050411070397,194.18191985260282,231.46803881183078,121
r150.JPG,73.2271728515625,4.648917948287834,21.701592636108398,2.5594307159400653,0.2958256029002223,0.022117720162696274,4938.4,874.6876521872758,21.351870465532365,3.177848392945554,0.9831534525466411,0.009165844972921933,130.06864876795632,194.00719152802557,224.67014320970014,149
r151.JPG,67.5975112915039,1.6913938244782807,21.474138259887695,1.0068357547996045,0.31753528923604507,0.007078689650224831,4418.0,437.6137566393451,26.308991987959946,4.697007266048975,0.9663138443487661,0.031076452779049708,122.4922339119214,192.148094522283,223.53098790311853,90
r152.JPG,73.26399307250976,7.809515176853844,24.449844360351562,5.285874119819389,0.3307151840867917,0.04630983150077861,5499.3,1615.9380007358643,21.860603894759983,5.743665299996681,0.9610137079497246,0.028717841194555727,137.02231397511528,193.98998490244077,219.71673354102364,106
r153.JPG,62.228570302327476,18.182035896985166,23.622138659159344,3.2058485408826263,0.4152514520022277,0.1358124760814808,4492.0,1785.0045581810914,21.561190521695863,2.9889094868434225,0.9144272640051271,0.08167730565889966,122.6951899661571,182.41401900310686,220.15464674023153,42
r154.JPG,75.0452880859375,7.634794531764675,21.35420150756836,1.6902511816125736,0.28701842531259786,0.03603456624671563,4786.6,587.5714046441977,22.54110900967036,3.5270465843028767,0.9513970476550371,0.015990404162694784,117.26300186827841,176.41027452341658,216.60474355966397,45
r155.JPG,76.052197265625,2.574010891969064,21.51248092651367,1.4964421819666984,0.2829483031660463,0.018617828249590795,4957.6,450.88103875757645,21.83417244797231,3.677618249487138,0.9635576680588374,0.020708846347074202,128.7420985971068,194.14934095402288,226.89087631464741,107
r156.JPG,47.33754348754883,1.2026318171285073,25.848232650756835,3.4740398926540217,0.545449441270805,0.06663814811844274,3791.2,581.6105608089011,26.483357767538866,1.215648032902656,0.9840526008635697,0.009218338951708118,125.39442415252492,182.7084312645038,224.18286594227453,111
r157.JPG,71.57732238769532,8.815370080070343,21.1765998840332,2.562441183956682,0.29642979182438833,0.02135971229540145,4641.7,1048.351277005947,21.552463173349786,3.1906871216276262,0.9627878779165314,0.012796707878207934,125.03053533181269,192.3284540672863,225.3630322792224,77
r158.JPG,76.97342681884766,2.199497950400284,25.7609561920166,0.6193534858671564,0.33473879469252593,0.004766565192634218,5992.2,304.19029131997837,20.66664600672206,2.169408710604381,0.9614308009631227,0.007921161563312086,126.73141175621954,181.33143070494154,215.67804148195583,84
r159.JPG,74.14367167154948,3.7714964247639804,25.9755916595459,1.502123723611198,0.3504065878235571,0.012687586929060682,5779.666666666667,586.0746255099829,23.883001974994574,3.3972583027701893,0.9534195273299196,0.006526263182970284,114.99242161439643,174.92730545788098,213.69349461774843,119
r160.JPG,72.9575927734375,3.731983899528717,23.284143447875977,1.4325936445858136,0.31962142881534705,0.021121170406777225,5255.5,466.46459910932384,19.298030652587816,3.529699618006231,0.9841859404228593,0.008265694486357805,133.59327722004005,196.29140907767007,224.33392974215758,120
r161.JPG,72.67807159423828,6.130440467826552,25.05864562988281,1.8443207531908647,0.3452644407100562,0.011308798922933393,5499.4,850.1431513443945,21.296651030009123,3.030338816106911,0.9565717314528556,0.031054691998628266,122.96120966105654,184.85259770538866,220.64609187435994,63
r162.JPG,69.02350463867188,4.89294885586953,25.503555679321288,1.1503659561698274,0.37073597679624115,0.024357210635453107,5367.4,553.6625928005852,20.747417512630683,0.9731679951849959,0.9690464952754612,0.010752636031355966,125.2977774425625,192.08060537963183,229.24176205748373,135
r163.JPG,69.57520141601563,3.3565303781174465,28.064962768554686,2.644770789077066,0.40576189639854554,0.058024284925636875,5818.9,124.57679470020828,22.389812426367357,1.9316700349208462,0.9545550225605268,0.056761913375802,116.16492866208253,184.55000979871753,224.85180106648892,18
